Country,Doses administered per 100 people,Total doses administered,Percent of Population Vaccinated,,per_pop_fully_vacc,
Afghanistan,33,12526397,0.3,30,0.28,28
Albania,106,3025728,0.47,47,0.44,44
Algeria,35,15267442,0.18,18,0.15,15
Angola,74,23701049,0.47,47,0.26,26
Argentina,252,113272665,0.92,92,0.84,84
Armenia,73,2150112,0.38,38,0.33,33
Aruba,164,174215,0.85,85,0.79,79
Australia,251,63634307,0.88,88,0.85,85
Austria,228,20263306,0.78,78,0.77,77
Azerbaijan,138,13857111,0.54,54,0.49,49
Bahamas,94,364701,0.45,45,0.43,43
Bahrain,212,3476633,0.76,76,0.75,75
Bangladesh,211,344352422,0.92,92,0.79,79
Barbados,133,381013,0.57,57,0.54,54
Belarus,183,17358735,0.69,69,0.68,68
Belgium,258,29593429,0.81,81,0.8,80
Belize,129,501952,0.65,65,0.57,57
Benin,36,4232541,0.31,31,0.23,23
Bhutan,264,2011426,0.92,92,0.89,89
Bolivia,128,14690530,0.64,64,0.54,54
Bosnia and Herzegovina,58,1924950,0.29,29,0.26,26
Botswana,135,3121142,0.73,73,0.62,62
Brazil,229,482332527,0.89,89,0.83,83
Brunei,296,1283392,0.99,99,0.99,99
Bulgaria,66,4605190,0.3,30,0.3,30
Burkina Faso,25,5117982,0.21,21,0.16,16
Burundi,0,30480,0.002,0.2,0.002,0.2
Cambodia,274,45217130,0.92,92,0.89,89
Cameroon,15,3998508,0.14,14,0.12,12
Canada,257,96657606,0.92,92,0.84,84
Cape Verde,156,859940,0.65,65,0.56,56
Central African Rep.,50,2354281,0.42,42,0.41,41
Chad,24,3891785,0.24,24,0.23,23
Chile,330,62630785,0.95,95,0.93,93
Colombia,179,90046356,0.85,85,0.73,73
Comoros,98,835021,0.52,52,0.47,47
Congo,20,17435502,0.1,10,0.078,7.8
Costa Rica,251,12666724,0.91,91,0.85,85
Croatia,132,5356912,0.57,57,0.55,55
Cuba,379,42902003,0.95,95,0.88,88
Curaçao,163,256029,0.69,69,0.63,63
Cyprus,150,1797542,0.56,56,0.54,54
Czech Republic,174,18600667,0.65,65,0.65,65
Denmark,226,13164483,0.82,82,0.82,82
Djibouti,35,338051,0.33,33,0.31,31
Dominican Rep.,151,16185178,0.68,68,0.57,57
Ecuador,227,39357012,0.88,88,0.82,82
Egypt,101,101068826,0.54,54,0.4,40
El Salvador,175,11289175,0.72,72,0.67,67
Equatorial Guinea,36,488738,0.2,20,0.16,16
Estonia,159,2103130,0.65,65,0.64,64
Eswatini,67,773579,0.44,44,0.43,43
Ethiopia,47,52509414,0.38,38,0.33,33
Fiji,174,1551808,0.8,80,0.72,72
Finland,238,13160054,0.82,82,0.79,79
France,229,153788820,0.81,81,0.79,79
French Polynesia,178,497169,0.68,68,0.67,67
Gabon,26,572672,0.14,14,0.12,12
Gambia,35,815861,0.23,23,0.19,19
Georgia,79,2930677,0.44,44,0.34,34
Germany,229,190625555,0.78,78,0.76,76
Ghana,70,21400939,0.4,40,0.3,30
Greece,206,22059587,0.74,74,0.71,71
Greenland,206,22059587,0.74,74,0.71,71
Grenada,81,90507,0.39,39,0.35,35
Guatemala,120,20004849,0.53,53,0.42,42
Guinea,69,8749048,0.48,48,0.26,26
Guinea-Bissau,35,673091,0.33,33,0.21,21
Guyana,122,953690,0.63,63,0.49,49
Haiti,4,512556,0.036,3.6,0.021,2.1
Honduras,173,16850623,0.66,66,0.59,59
Hong Kong,275,20462274,0.93,93,0.91,91
Hungary,171,16701238,0.66,66,0.64,64
Iceland,223,805469,0.86,86,0.8,80
India,161,2201655453,0.75,75,0.7,70
Indonesia,165,447461191,0.75,75,0.65,65
Iran,187,154773070,0.79,79,0.71,71
Iraq,50,19557364,0.29,29,0.2,20
Ireland,225,11098406,0.83,83,0.82,82
Israel,206,18623802,0.74,74,0.68,68
Italy,238,143542826,0.84,84,0.8,80
Côte d'Ivoire,92,23755644,0.51,51,0.45,45
Jamaica,51,1508319,0.29,29,0.25,25
Japan,296,374040614,0.83,83,0.82,82
Jordan,100,10057975,0.48,48,0.45,45
Kazakhstan,113,20918681,0.59,59,0.57,57
Kenya,44,23063539,0.27,27,0.21,21
Kiribati,165,193491,0.82,82,0.63,63
Kosovo,100,1837224,0.49,49,0.45,45
Kuwait,196,8256563,0.82,82,0.79,79
Kyrgyzstan,52,3383537,0.25,25,0.21,21
Laos,155,11111066,0.82,82,0.73,73
Latvia,151,2895716,0.7,70,0.68,68
Lebanon,85,5814699,0.4,40,0.35,35
Lesotho,59,1259488,0.47,47,0.44,44
Liberia,90,4460668,0.79,79,0.76,76
Libya,55,3716080,0.34,34,0.18,18
Lithuania,163,4541773,0.7,70,0.67,67
Luxembourg,221,1371892,0.78,78,0.75,75
Macau,284,1791888,0.99,99,0.99,99
Madagascar,8,2379808,0.076,7.6,0.073,7.3
China,250,3488058000,0.94,94,0.91,91
Malawi,34,6367571,0.25,25,0.2,20
Malaysia,227,72447190,0.88,88,0.86,86
Maldives,179,951419,0.75,75,0.73,73
Mali,22,4345592,0.16,16,0.13,13
