,Company and Vaccine Name ,License  Holder ,Company's Country,Purchaser_Country,,Purchaser's country Economic  Status ,Value of Deal (USD),Number_Procured,COVID Burden (cases/million) ,Number of Doses Needed per Person, Number of people able to be vaccinated with doses procured , Population  ,% of national population able to be vaccinated , Doses intended to be purchased  ,Number of people able to be vaccinated with additional doses,% of national population able to be vaccinated with additional doses,Limited Regulatory Approval ,Full Regulatory Approval ,Agreement status
13,Oxford-AstraZeneca _AZD1222,AZ,UK,COVAX,,Global Entity,,"170,000,000",,2,"85,000,000",,,,,,2/15/2021,,Confirmed agreement
214,COVAX Vaccines,,,COVAX,,Global Entity,,"210,000,000",,,,,,"900,000,000",,,,,Confirmed agreement
195,Sanofi-GSK_SARS-CoV-2 Vaccine,,France/UK,COVAX,,Global Entity,,"200,000,000",,2,"100,000,000",,,,,,,,Confirmed agreement
64,Pfizer-BioNTech_BNT162,,USA/Germany ,COVAX,,Global Entity,,"40,000,000",,2,"20,000,000",,,,,,12/31/2020,,Confirmed agreement 
121,Novavax_NVX-CoV2373,Novavax,USA,COVAX,,Global Entity,,,,2,,,,"550,000,000","275,000,000",,,,Under negotiation
122,Novavax_NVX-CoV2373,SII,USA,COVAX,,Global Entity,,,,2,,,,"550,000,000","275,000,000",,,,Under negotiation
184,Janssen (J&J)_Ad26.COV2.S,,Belgium ,COVAX,,Global Entity,,"500,000,000",,1,"500,000,000",,,,,,3/12/2021,,Confirmed agreement
146,Gamaleya Research Institute_Sputnik V,,Russia,Cyprus,NOOOO,High Income,,,"67,205",2,,"1,198,575",,"50,000","25,000",2%,,,Under negotiation
123,Novavax_NVX-CoV2373,Novavax,USA ,European Union,,High Income,,,"66,844",2,,"447,512,041",,"200,000,000","100,000,000",22%,,,Under negotiation 
230,Sinovac_Coronavac ,,China,Hong Kong,,High Income,,"7,500,000","1,561",2,"3,750,000","7,507,400",50%,,,,2/18/2021,,Confirmed agreement
69,Pfizer-BioNTech_BNT162,,USA/Germany ,Hong Kong,,High Income,,"7,500,000","1,561",2,"3,750,000","7,507,400",50%,,,,1/25/2021,,Confirmed agreement
25,Oxford-AstraZeneca _AZD1222,AZ,UK,Israel ,,High Income,,"10,000,000","96,758",2,"5,000,000","9,053,300",55%,,,,,,Confirmed agreement 
83,Pfizer-BioNTech_BNT162,,USA/Germany ,Oman,,High Income,,"370,000","35,987",2,"185,000","4,974,986",4%,,,,12/16/2020,,Confirmed agreement
