Region,date,new_people_vaccinated,population,percent_of_pop_newly_vacc
Asia,1/08/2020,0,4679660000,0
Asia,2/08/2020,0,4679660000,0
Asia,3/08/2020,0,4679660000,0
Asia,4/08/2020,0,4679660000,0
Asia,5/08/2020,0,4679660000,0
Asia,6/08/2020,0,4679660000,0
Asia,7/08/2020,0,4679660000,0
Asia,8/08/2020,0,4679660000,0
Asia,9/08/2020,0,4679660000,0
Asia,10/08/2020,0,4679660000,0
Asia,11/08/2020,0,4679660000,0
Asia,12/08/2020,0,4679660000,0
Asia,13/08/2020,0,4679660000,0
Asia,14/08/2020,0,4679660000,0
Asia,15/08/2020,0,4679660000,0
Asia,16/08/2020,0,4679660000,0
Asia,17/08/2020,0,4679660000,0
Asia,18/08/2020,0,4679660000,0
Asia,19/08/2020,0,4679660000,0
Asia,20/08/2020,0,4679660000,0
Asia,21/08/2020,0,4679660000,0
Asia,22/08/2020,0,4679660000,0
Asia,23/08/2020,0,4679660000,0
Asia,24/08/2020,0,4679660000,0
Asia,25/08/2020,0,4679660000,0
Asia,26/08/2020,0,4679660000,0
Asia,27/08/2020,0,4679660000,0
Asia,28/08/2020,0,4679660000,0
Asia,29/08/2020,0,4679660000,0
Asia,30/08/2020,0,4679660000,0
Asia,31/08/2020,0,4679660000,0
Asia,1/09/2020,0,4679660000,0
Asia,2/09/2020,0,4679660000,0
Asia,3/09/2020,0,4679660000,0
Asia,4/09/2020,0,4679660000,0
Asia,5/09/2020,0,4679660000,0
Asia,6/09/2020,0,4679660000,0
Asia,7/09/2020,0,4679660000,0
Asia,8/09/2020,0,4679660000,0
Asia,9/09/2020,0,4679660000,0
Asia,10/09/2020,0,4679660000,0
Asia,11/09/2020,0,4679660000,0
Asia,12/09/2020,0,4679660000,0
Asia,13/09/2020,0,4679660000,0
Asia,14/09/2020,0,4679660000,0
Asia,15/09/2020,0,4679660000,0
Asia,16/09/2020,0,4679660000,0
Asia,17/09/2020,0,4679660000,0
Asia,18/09/2020,0,4679660000,0
Asia,19/09/2020,0,4679660000,0
Asia,20/09/2020,0,4679660000,0
Asia,21/09/2020,0,4679660000,0
Asia,22/09/2020,0,4679660000,0
Asia,23/09/2020,0,4679660000,0
Asia,24/09/2020,0,4679660000,0
Asia,25/09/2020,0,4679660000,0
Asia,26/09/2020,0,4679660000,0
Asia,27/09/2020,0,4679660000,0
Asia,28/09/2020,0,4679660000,0
Asia,29/09/2020,0,4679660000,0
Asia,30/09/2020,0,4679660000,0
Asia,1/10/2020,0,4679660000,0
Asia,2/10/2020,0,4679660000,0
Asia,3/10/2020,0,4679660000,0
Asia,4/10/2020,0,4679660000,0
Asia,5/10/2020,0,4679660000,0
Asia,6/10/2020,0,4679660000,0
Asia,7/10/2020,0,4679660000,0
Asia,8/10/2020,0,4679660000,0
Asia,9/10/2020,0,4679660000,0
Asia,10/10/2020,0,4679660000,0
Asia,11/10/2020,0,4679660000,0
Asia,12/10/2020,0,4679660000,0
Asia,13/10/2020,0,4679660000,0
